범죄대분류,범죄중분류,단독주택,아파트,다세대주택,오피스텔,고속도로,"자동차 전용도로",일반도로,길거리,백화점,대형할인점,슈퍼마켓,편의점,노점상,창고,무인상점,기타상점,숙박업소,목욕시설,미용실,마사지업소,음식점,카페,주점,유흥업소,버스정류소,지하철역,기차역,여객선터미널,공항,버스,택시,자가용자동차,지하철내부,기차,선박,비행기,공연장,체육시설,공원_놀이시설,피씨방,영유아시설,학교,도서관,학원,금융보험기관,의료기관,종교시설,자연공간,해안,폐가공터,공중화장실,관공서,군사시설,구금장소,사회복지시설
강력범죄,살인기수,35,67,44,14,0,0,1,11,0,0,0,0,1,1,0,0,9,0,2,0,1,2,2,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,0,0,1,1,0,1,0
강력범죄,살인미수등,50,95,69,22,1,0,21,39,0,1,4,3,3,0,0,11,11,1,1,2,8,0,5,3,0,0,0,0,0,0,1,2,0,0,0,0,0,3,6,2,0,0,0,0,0,7,2,15,1,1,0,2,0,1,1
강력범죄,강도,26,21,13,33,0,0,20,45,0,6,6,36,0,1,3,19,34,0,1,6,5,3,7,10,0,0,0,0,2,0,5,16,0,0,0,0,0,0,7,2,1,1,0,1,5,2,2,16,0,4,4,2,0,1,0
강력범죄,강간,357,712,581,567,1,0,18,27,0,1,1,3,0,3,1,39,1445,5,1,27,20,38,53,94,1,1,0,0,0,0,1,139,0,0,0,0,0,6,14,7,0,15,3,4,0,13,8,21,2,8,39,4,1,0,4
강력범죄,유사강간,59,107,106,103,0,0,5,13,0,0,0,3,1,0,0,10,171,9,0,13,6,8,16,56,0,1,0,0,0,3,4,34,0,0,0,0,2,2,4,2,2,7,0,3,0,13,2,9,0,2,20,0,0,1,1
강력범죄,강제추행,420,903,496,442,18,2,294,1133,36,69,69,285,71,16,27,397,558,228,36,105,1061,149,1123,1159,82,269,9,1,9,453,156,317,516,0,0,12,35,202,182,82,7,447,16,105,17,332,53,179,5,11,37,76,38,71,47
강력범죄,"기타 강간/강제추행등",15,32,19,12,0,0,1,2,0,0,0,0,1,0,0,1,24,0,1,1,3,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,2,0,0,3,0,0,0,0
강력범죄,방화,160,191,124,43,1,0,22,60,0,0,2,0,10,3,1,21,24,1,2,1,15,3,5,4,1,1,1,1,1,0,0,5,1,0,0,0,1,1,13,5,1,5,0,0,5,6,4,28,1,7,15,22,0,2,1
절도범죄,절도범죄,5203,14510,5422,2838,39,11,5113,16846,2400,10037,7884,7897,2265,1025,10769,14933,1315,1421,218,119,5183,1314,1646,787,393,1076,98,11,255,442,650,2605,262,8,5,39,159,1581,1210,1582,50,1552,229,149,2003,1154,525,6363,106,649,400,320,26,20,123
폭력범죄,상해,1251,2407,1009,604,57,19,1232,2452,14,27,39,119,126,21,6,317,369,44,22,28,1000,110,1077,858,37,58,6,1,5,46,23,64,24,0,0,1,8,134,153,68,5,409,10,13,9,251,68,479,13,53,30,88,12,26,67
